0,575.85,662.18,1324.53,783.76,443.06,869.62,1085.63,1967.22,1023.73,252.24,705.86,814.48,934.94,1800.52
575.85,0,358.18,1169.21,1045.25,331.64,743.14,935.9,1687.99,601.06,334.36,403.09,553.44,705.59,1604.5
662.18,358.18,0,813.35,1322.42,220.2,388.18,577.92,1368.06,363.19,433.95,50.53,199.53,351.6,1259.15
1324.53,1169.21,813.35,0,2082.47,950.93,461.82,244.05,684.6,700.78,1175.72,766.47,615.77,463.75,476.28
783.76,1045.25,1322.42,2082.47,0,1138.82,1620.75,1838.99,2688.56,1638.94,909.17,1372.76,1512.1,1654.12,2553.6
443.06,331.64,220.2,950.93,1138.82,0,491.51,707.0,1553.29,583.3,230.7,262.81,380.25,516.03,1416.91
869.62,743.14,388.18,461.82,1620.75,491.51,0,218.31,1101.72,471.87,714.13,350.8,224.98,152.26,934.25
1085.63,935.9,577.92,244.05,1838.99,707.0,218.31,0,894.84,534.75,931.74,533.23,385.38,239.53,716.18
1967.22,1687.99,1368.06,684.6,2688.56,1553.29,1101.72,894.84,0,1100.8,1783.96,1317.53,1176.5,1037.86,303.57
1023.73,601.06,363.19,700.78,1638.94,583.3,471.87,534.75,1100.8,0,787.07,324.89,288.23,328.26,1060.76
252.24,334.36,433.95,1175.72,909.17,230.7,714.13,931.74,1783.96,787.07,0,481.81,609.63,746.69,1644.84
705.86,403.09,50.53,766.47,1372.76,262.81,350.8,533.23,1317.53,324.89,481.81,0,151.07,303.52,1209.71
814.48,553.44,199.53,615.77,1512.1,380.25,224.98,385.38,1176.5,288.23,609.63,151.07,0,152.46,1059.86
934.94,705.59,351.6,463.75,1654.12,516.03,152.26,239.53,1037.86,328.26,746.69,303.52,152.46,0,909.36
1800.52,1604.5,1259.15,476.28,2553.6,1416.91,934.25,716.18,303.57,1060.76,1644.84,1209.71,1059.86,909.36,0
